sigXX-0.0;sigYY-0.0;sigXX-0.1;sigYY-0.1;sigXX-0.2;sigYY-0.2;sigXX-0.3;sigYY-0.3;sigXX-0.4;sigYY-0.4;tau_sigXX;tau_sigYY;tau_sigXY;aniso_theta;aniso_sig0;aniso_r
1.019754;0.069956;1.004922;0.068939;0.958014;0.065721;0.870923;0.059746;0.725291;0.049756;0.983773;0.939303;0.064456;nan;nan;nan
1.019994;0.070616;1.005163;0.069590;0.958260;0.066342;0.871170;0.060313;0.725527;0.050230;0.983649;0.939189;0.065042;nan;nan;nan
1.020233;0.071277;1.005404;0.070241;0.958504;0.066965;0.871417;0.060880;0.725763;0.050704;0.983523;0.939074;0.065627;nan;nan;nan
1.020471;0.071938;1.005644;0.070893;0.958749;0.067587;0.871663;0.061448;0.725998;0.051179;0.983397;0.938957;0.066212;nan;nan;nan
1.020709;0.072600;1.005884;0.071545;0.958992;0.068210;0.871909;0.062016;0.726233;0.051655;0.983269;0.938840;0.066797;nan;nan;nan
1.020946;0.073261;1.006123;0.072198;0.959235;0.068833;0.872154;0.062584;0.726468;0.052130;0.983140;0.938722;0.067381;nan;nan;nan
1.021183;0.073923;1.006361;0.072850;0.959478;0.069457;0.872399;0.063153;0.726703;0.052606;0.983010;0.938603;0.067966;nan;nan;nan
1.021419;0.074586;1.006599;0.073504;0.959720;0.070080;0.872644;0.063722;0.726937;0.053082;0.982879;0.938483;0.068550;nan;nan;nan
1.021655;0.075248;1.006837;0.074157;0.959962;0.070704;0.872888;0.064291;0.727171;0.053559;0.982747;0.938362;0.069134;nan;nan;nan
1.021890;0.075911;1.007074;0.074811;0.960203;0.071329;0.873132;0.064861;0.727405;0.054035;0.982614;0.938239;0.069718;nan;nan;nan
1.022124;0.076575;1.007310;0.075465;0.960444;0.071954;0.873375;0.065431;0.727638;0.054513;0.982480;0.938116;0.070302;nan;nan;nan
1.022358;0.077238;1.007546;0.076119;0.960684;0.072579;0.873617;0.066001;0.727871;0.054990;0.982345;0.937992;0.070886;nan;nan;nan
1.022592;0.077902;1.007781;0.076774;0.960924;0.073204;0.873860;0.066572;0.728104;0.055468;0.982208;0.937867;0.071469;nan;nan;nan
1.022825;0.078566;1.008016;0.077429;0.961163;0.073830;0.874101;0.067142;0.728337;0.055946;0.982071;0.937741;0.072052;nan;nan;nan
1.023057;0.079231;1.008250;0.078084;0.961401;0.074456;0.874343;0.067714;0.728569;0.056424;0.981932;0.937613;0.072636;nan;nan;nan
1.023289;0.079896;1.008484;0.078740;0.961639;0.075082;0.874584;0.068285;0.728801;0.056903;0.981792;0.937485;0.073218;nan;nan;nan
1.023521;0.080561;1.008717;0.079396;0.961877;0.075709;0.874824;0.068857;0.729032;0.057382;0.981651;0.937356;0.073801;nan;nan;nan
1.023751;0.081226;1.008950;0.080052;0.962114;0.076336;0.875064;0.069429;0.729264;0.057861;0.981509;0.937226;0.074384;nan;nan;nan
1.023982;0.081892;1.009182;0.080709;0.962350;0.076963;0.875304;0.070002;0.729495;0.058341;0.981366;0.937094;0.074966;nan;nan;nan
1.024211;0.082558;1.009413;0.081365;0.962586;0.077591;0.875543;0.070575;0.729725;0.058821;0.981222;0.936962;0.075548;nan;nan;nan
1.024440;0.083225;1.009644;0.082023;0.962822;0.078219;0.875781;0.071148;0.729956;0.059301;0.981077;0.936829;0.076130;nan;nan;nan
1.024669;0.083891;1.009875;0.082680;0.963057;0.078847;0.876019;0.071721;0.730186;0.059782;0.980930;0.936695;0.076712;nan;nan;nan
1.024897;0.084559;1.010105;0.083338;0.963291;0.079476;0.876257;0.072295;0.730415;0.060262;0.980783;0.936560;0.077294;nan;nan;nan
1.025125;0.085226;1.010334;0.083996;0.963525;0.080105;0.876494;0.072869;0.730645;0.060744;0.980634;0.936423;0.077875;nan;nan;nan
1.025352;0.085894;1.010563;0.084655;0.963758;0.080734;0.876731;0.073444;0.730874;0.061225;0.980485;0.936286;0.078456;nan;nan;nan
1.025578;0.086562;1.010791;0.085313;0.963991;0.081363;0.876967;0.074018;0.731102;0.061707;0.980334;0.936148;0.079037;nan;nan;nan
1.025804;0.087230;1.011019;0.085973;0.964223;0.081993;0.877203;0.074593;0.731331;0.062189;0.980182;0.936009;0.079618;nan;nan;nan
1.026029;0.087898;1.011246;0.086632;0.964455;0.082623;0.877438;0.075169;0.731559;0.062672;0.980029;0.935869;0.080199;nan;nan;nan
1.026254;0.088567;1.011473;0.087292;0.964686;0.083254;0.877673;0.075745;0.731787;0.063154;0.979875;0.935727;0.080779;nan;nan;nan
1.026478;0.089237;1.011699;0.087952;0.964917;0.083885;0.877908;0.076321;0.732014;0.063637;0.979720;0.935585;0.081359;nan;nan;nan
1.026702;0.089906;1.011924;0.088612;0.965147;0.084516;0.878142;0.076897;0.732241;0.064121;0.979564;0.935442;0.081939;nan;nan;nan
1.026925;0.090576;1.012149;0.089273;0.965377;0.085147;0.878375;0.077474;0.732468;0.064604;0.979407;0.935298;0.082519;nan;nan;nan
1.027148;0.091246;1.012374;0.089934;0.965606;0.085779;0.878608;0.078051;0.732695;0.065088;0.979248;0.935153;0.083099;nan;nan;nan
1.027370;0.091916;1.012598;0.090595;0.965834;0.086411;0.878841;0.078628;0.732921;0.065573;0.979089;0.935007;0.083678;nan;nan;nan
1.027592;0.092587;1.012821;0.091256;0.966062;0.087043;0.879073;0.079205;0.733146;0.066057;0.978928;0.934860;0.084257;nan;nan;nan
1.027813;0.093258;1.013044;0.091918;0.966290;0.087676;0.879304;0.079783;0.733372;0.066542;0.978766;0.934712;0.084836;nan;nan;nan
1.028033;0.093930;1.013266;0.092580;0.966517;0.088309;0.879535;0.080362;0.733597;0.067028;0.978604;0.934563;0.085415;nan;nan;nan
1.028253;0.094601;1.013488;0.093243;0.966743;0.088942;0.879766;0.080940;0.733822;0.067513;0.978440;0.934413;0.085994;nan;nan;nan
1.028472;0.095273;1.013709;0.093906;0.966969;0.089576;0.879996;0.081519;0.734046;0.067999;0.978275;0.934262;0.086572;nan;nan;nan
1.028691;0.095946;1.013930;0.094569;0.967194;0.090210;0.880225;0.082098;0.734270;0.068485;0.978109;0.934110;0.087150;nan;nan;nan
1.028909;0.096618;1.014150;0.095232;0.967419;0.090844;0.880455;0.082678;0.734494;0.068971;0.977942;0.933957;0.087728;nan;nan;nan
1.029127;0.097291;1.014370;0.095896;0.967644;0.091478;0.880683;0.083257;0.734718;0.069458;0.977774;0.933803;0.088306;nan;nan;nan
1.029344;0.097964;1.014589;0.096560;0.967867;0.092113;0.880911;0.083838;0.734941;0.069945;0.977605;0.933648;0.088883;nan;nan;nan
1.029561;0.098638;1.014807;0.097224;0.968090;0.092748;0.881139;0.084418;0.735163;0.070433;0.977434;0.933492;0.089461;nan;nan;nan
1.029777;0.099311;1.015025;0.097889;0.968313;0.093384;0.881366;0.084999;0.735386;0.070920;0.977263;0.933335;0.090038;nan;nan;nan
1.029993;0.099985;1.015242;0.098554;0.968535;0.094020;0.881593;0.085580;0.735608;0.071408;0.977090;0.933177;0.090615;nan;nan;nan
1.030208;0.100660;1.015459;0.099219;0.968757;0.094656;0.881819;0.086161;0.735829;0.071897;0.976917;0.933018;0.091191;nan;nan;nan
1.030422;0.101334;1.015676;0.099884;0.968978;0.095292;0.882045;0.086743;0.736051;0.072385;0.976742;0.932859;0.091768;nan;nan;nan
1.030636;0.102009;1.015891;0.100550;0.969198;0.095929;0.882270;0.087325;0.736272;0.072874;0.976567;0.932698;0.092344;nan;nan;nan
1.030849;0.102685;1.016107;0.101216;0.969418;0.096565;0.882495;0.087907;0.736492;0.073363;0.976390;0.932536;0.092920;nan;nan;nan
1.031062;0.103360;1.016321;0.101883;0.969638;0.097203;0.882719;0.088489;0.736713;0.073853;0.976212;0.932373;0.093495;nan;nan;nan
1.031274;0.104036;1.016535;0.102549;0.969857;0.097840;0.882943;0.089072;0.736933;0.074343;0.976033;0.932210;0.094071;nan;nan;nan
1.031486;0.104712;1.016749;0.103216;0.970075;0.098478;0.883166;0.089655;0.737152;0.074833;0.975853;0.932045;0.094646;nan;nan;nan
1.031697;0.105389;1.016962;0.103884;0.970293;0.099116;0.883389;0.090239;0.737371;0.075323;0.975672;0.931880;0.095221;nan;nan;nan
